ID: ASSR-VLG-0012 | Name: 雪女 | Faction: 妖怪村莊
ID: C-CAT-0023 | Name: 醫療喵 | Faction: 喵喵賊
ID: CAT-0003 | Name: 驚喜喵 | Faction: 喵喵賊
ID: CAT-0004 | Name: 虎老大 | Faction: 喵喵賊
ID: CAT-0008 | Name: 老喵 | Faction: 喵喵賊
ID: CAT-0015 | Name: 騎士喵 | Faction: 喵喵賊
ID: CAT-0023 | Name: 醫療喵 | Faction: 喵喵賊
ID: CAT-0031 | Name: 訊號干擾喵 | Faction: 喵喵賊
ID: CAT-0032 | Name: 次元突擊喵 | Faction: 喵喵賊
ID: CAT-0034 | Name: 百變喵 | Faction: 喵喵賊
ID: CAT-0038 | Name: 布偶喵 | Faction: 喵喵賊
ID: CAT-0056 | Name: DJ喵 | Faction: 喵喵賊
ID: R-CAT-0009 | Name: 保喵 | Faction: 喵喵賊
ID: R-CAT-0011 | Name: 黑喵 | Faction: 喵喵賊
ID: R-CAT-0021 | Name: 幽靈喵 | Faction: 喵喵賊
ID: R-CAT-0023 | Name: 醫療喵 | Faction: 喵喵賊
ID: R-CAT-0040 | Name: 逗喵棒 | Faction: 喵喵賊
ID: R-CAT-0041 | Name: 公關姐姐喵 | Faction: 喵喵賊
ID: R-CAT-0042 | Name: 魔拳喵喵 | Faction: 喵喵賊
ID: R-CAT-0044 | Name: 殭屍喵 | Faction: 喵喵賊
ID: R-CAT-0052 | Name: 黑幫首喵 凱特琳 | Faction: 喵喵賊
ID: R-VLG-0001 | Name: 地震術 | Faction: 中立
ID: R-VLG-0002 | Name: 雨傘妖怪 | Faction: 妖怪村莊
ID: R-VLG-0003 | Name: 嘴裂的女孩 | Faction: 妖怪村莊
ID: R-VLG-0004 | Name: 九尾妖狐 | Faction: 妖怪村莊
ID: R-VLG-0007 | Name: 藍小鬼棒子 | Faction: 妖怪村莊
ID: R-VLG-0008 | Name: 紅小鬼棒子 | Faction: 妖怪村莊
ID: R-VLG-0009 | Name: 恐怖錄影帶 | Faction: 妖怪村莊
ID: R-VLG-001 | Name: 晴天娃娃 | Faction: 妖怪村莊
ID: R-VLG-0010 | Name: 貞美子 | Faction: 妖怪村莊
ID: R-VLG-0011 | Name: 武士繪 | Faction: 妖怪村莊
ID: R-VLG-0012 | Name: 雪女 | Faction: 妖怪村莊
ID: R-VLG-0013 | Name: 毛線怪 | Faction: 妖怪村莊
ID: R-VLG-0014 | Name: 座敷童子 | Faction: 妖怪村莊
ID: R-VLG-0016 | Name: 燈籠小鬼 | Faction: 妖怪村莊
ID: R-VLG-0018 | Name: 如月車站 | Faction: 妖怪村莊
ID: R-VLG-002 | Name: 雨傘妖怪 | Faction: 妖怪村莊
ID: R-VLG-0020 | Name: 詛咒通靈 | Faction: 妖怪村莊
